team_abbrev,team_name,seed,wins,exit_round,year
connecticut,UConn,3,6,Champion,2011
butler,Butler,8,5,Runner-up,2011
kentucky,Kentucky,4,4,F4,2011
virginia-commonwealth,VCU,11,4,F4,2011
kansas,Kansas,1,3,E8,2011
north-carolina,UNC,2,3,E8,2011
arizona,Arizona,5,3,E8,2011
florida,Florida,2,3,E8,2011
san-diego-state,San Diego State,2,2,S16,2011
duke,Duke,1,2,S16,2011
florida-state,Florida State,10,2,S16,2011
richmond,Richmond,12,2,S16,2011
brigham-young,BYU,3,2,S16,2011
wisconsin,Wisconsin,4,2,S16,2011
ohio-state,Ohio State,1,2,S16,2011
marquette,Marquette,11,2,S16,2011
morehead-state,Morehead State,13,1,R32,2011
cincinnati,Cincinnati,6,1,R32,2011
purdue,Purdue,3,1,R32,2011
notre-dame,Notre Dame,2,1,R32,2011
pittsburgh,Pitt,1,1,R32,2011
illinois,Illinois,9,1,R32,2011
michigan,Michigan,8,1,R32,2011
west-virginia,West Virginia,5,1,R32,2011
syracuse,Syracuse,3,1,R32,2011
ucla,UCLA,7,1,R32,2011
texas,Texas,4,1,R32,2011
kansas-state,Kansas State,5,1,R32,2011
george-mason,George Mason,8,1,R32,2011
temple,Temple,7,1,R32,2011
washington,Washington,7,1,R32,2011
gonzaga,Gonzaga,11,1,R32,2011
oakland,Oakland,13,0,R64,2011
penn-state,Penn State,10,0,R64,2011
akron,Akron,15,0,R64,2011
clemson,Clemson,12,0,R64,2011
bucknell,Bucknell,14,0,R64,2011
hampton,Hampton,16,0,R64,2011
tennessee,Tennessee,9,0,R64,2011
villanova,Villanova,9,0,R64,2011
memphis,Memphis,12,0,R64,2011
missouri,Missouri,11,0,R64,2011
texas-am,Texas A&M,7,0,R64,2011
princeton,Princeton,13,0,R64,2011
long-island-university,LIU,15,0,R64,2011
saint-peters,St. Peter's,14,0,R64,2011
wofford,Wofford,14,0,R64,2011
north-carolina-asheville,UNC Asheville,16,0,R64,2011
georgia,Georgia,10,0,R64,2011
old-dominion,Old Dominion,9,0,R64,2011
utah-state,Utah State,12,0,R64,2011
belmont,Belmont,13,0,R64,2011
st-johns-ny,St. John's (NY),6,0,R64,2011
indiana-state,Indiana State,14,0,R64,2011
michigan-state,Michigan State,10,0,R64,2011
xavier,Xavier,6,0,R64,2011
california-santa-barbara,UCSB,15,0,R64,2011
texas-san-antonio,UTSA,16,0,R64,2011
boston-university,Boston University,16,0,R64,2011
nevada-las-vegas,UNLV,8,0,R64,2011
vanderbilt,Vanderbilt,5,0,R64,2011
louisville,Louisville,4,0,R64,2011
georgetown,Georgetown,6,0,R64,2011
northern-colorado,Northern Colorado,15,0,R64,2011
kentucky,Kentucky,1,6,Champion,2012
kansas,Kansas,2,5,Runner-up,2012
ohio-state,Ohio State,2,4,F4,2012
louisville,Louisville,4,4,F4,2012
florida,Florida,7,3,E8,2012
baylor,Baylor,3,3,E8,2012
north-carolina,UNC,1,3,E8,2012
syracuse,Syracuse,1,3,E8,2012
cincinnati,Cincinnati,6,2,S16,2012
michigan-state,Michigan State,1,2,S16,2012
ohio,Ohio,13,2,S16,2012
indiana,Indiana,4,2,S16,2012
xavier,Xavier,10,2,S16,2012
wisconsin,Wisconsin,4,2,S16,2012
north-carolina-state,NC State,11,2,S16,2012
marquette,Marquette,3,2,S16,2012
saint-louis,Saint Louis,9,1,R32,2012
new-mexico,New Mexico,5,1,R32,2012
purdue,Purdue,10,1,R32,2012
murray-state,Murray State,6,1,R32,2012
vanderbilt,Vanderbilt,5,1,R32,2012
colorado,Colorado,11,1,R32,2012
virginia-commonwealth,VCU,12,1,R32,2012
kansas-state,Kansas State,8,1,R32,2012
iowa-state,Iowa State,8,1,R32,2012
lehigh,Lehigh,15,1,R32,2012
norfolk-state,Norfolk State,15,1,R32,2012
creighton,Creighton,8,1,R32,2012
florida-state,Florida State,3,1,R32,2012
south-florida,South Florida,12,1,R32,2012
gonzaga,Gonzaga,7,1,R32,2012
georgetown,Georgetown,3,1,R32,2012
virginia,Virginia,10,0,R64,2012
missouri,Missouri,2,0,R64,2012
brigham-young,BYU,14,0,R64,2012
st-bonaventure,St. Bonaventure,14,0,R64,2012
colorado-state,Colorado State,11,0,R64,2012
vermont,Vermont,16,0,R64,2012
davidson,Davidson,13,0,R64,2012
southern-mississippi,Southern Miss,9,0,R64,2012
long-beach-state,Long Beach State,12,0,R64,2012
west-virginia,West Virginia,10,0,R64,2012
montana,Montana,13,0,R64,2012
memphis,Memphis,8,0,R64,2012
long-island-university,LIU,16,0,R64,2012
loyola-md,Loyola (MD),15,0,R64,2012
belmont,Belmont,14,0,R64,2012
duke,Duke,2,0,R64,2012
texas,Texas,11,0,R64,2012
harvard,Harvard,12,0,R64,2012
detroit-mercy,Detroit Mercy,15,0,R64,2012
north-carolina-asheville,UNC Asheville,16,0,R64,2012
western-kentucky,Western Kentucky,16,0,R64,2012
san-diego-state,San Diego State,6,0,R64,2012
connecticut,UConn,9,0,R64,2012
michigan,Michigan,4,0,R64,2012
saint-marys-ca,Saint Mary's,7,0,R64,2012
new-mexico-state,New Mexico State,13,0,R64,2012
nevada-las-vegas,UNLV,6,0,R64,2012
temple,Temple,5,0,R64,2012
alabama,Alabama,9,0,R64,2012
south-dakota-state,South Dakota State,14,0,R64,2012
notre-dame,Notre Dame,7,0,R64,2012
wichita-state,Wichita State,5,0,R64,2012
louisville,Louisville,1,6,Champion,2013
michigan,Michigan,4,5,Runner-up,2013
wichita-state,Wichita State,9,4,F4,2013
syracuse,Syracuse,4,4,F4,2013
ohio-state,Ohio State,2,3,E8,2013
florida,Florida,3,3,E8,2013
marquette,Marquette,3,3,E8,2013
duke,Duke,2,3,E8,2013
indiana,Indiana,1,2,S16,2013
arizona,Arizona,6,2,S16,2013
la-salle,La Salle,13,2,S16,2013
florida-gulf-coast,Florida Gulf Coast,15,2,S16,2013
michigan-state,Michigan State,3,2,S16,2013
oregon,Oregon,12,2,S16,2013
kansas,Kansas,1,2,S16,2013
miami-fl,Miami (FL),2,2,S16,2013
san-diego-state,San Diego State,7,1,R32,2013
virginia-commonwealth,VCU,5,1,R32,2013
california,California,12,1,R32,2013
mississippi,Ole Miss,12,1,R32,2013
gonzaga,Gonzaga,1,1,R32,2013
creighton,Creighton,7,1,R32,2013
temple,Temple,9,1,R32,2013
illinois,Illinois,7,1,R32,2013
north-carolina,UNC,8,1,R32,2013
memphis,Memphis,6,1,R32,2013
minnesota,Minnesota,11,1,R32,2013
saint-louis,Saint Louis,4,1,R32,2013
harvard,Harvard,14,1,R32,2013
butler,Butler,6,1,R32,2013
iowa-state,Iowa State,10,1,R32,2013
colorado-state,Colorado State,8,1,R32,2013
southern,Southern,16,0,R64,2013
georgetown,Georgetown,2,0,R64,2013
montana,Montana,13,0,R64,2013
pacific,Pacific,15,0,R64,2013
pittsburgh,Pitt,8,0,R64,2013
wisconsin,Wisconsin,5,0,R64,2013
oklahoma,Oklahoma,10,0,R64,2013
nevada-las-vegas,UNLV,5,0,R64,2013
belmont,Belmont,11,0,R64,2013
new-mexico,New Mexico,3,0,R64,2013
notre-dame,Notre Dame,7,0,R64,2013
north-carolina-state,NC State,8,0,R64,2013
kansas-state,Kansas State,4,0,R64,2013
south-dakota-state,South Dakota State,13,0,R64,2013
northwestern-state,Northwestern State,14,0,R64,2013
ucla,UCLA,6,0,R64,2013
north-carolina-at,North Carolina A&T,16,0,R64,2013
missouri,Missouri,9,0,R64,2013
oklahoma-state,Oklahoma State,5,0,R64,2013
colorado,Colorado,10,0,R64,2013
new-mexico-state,New Mexico State,13,0,R64,2013
saint-marys-ca,Saint Mary's,11,0,R64,2013
valparaiso,Valparaiso,14,0,R64,2013
cincinnati,Cincinnati,10,0,R64,2013
davidson,Davidson,14,0,R64,2013
albany-ny,Albany (NY),15,0,R64,2013
james-madison,James Madison,16,0,R64,2013
western-kentucky,Western Kentucky,16,0,R64,2013
villanova,Villanova,9,0,R64,2013
akron,Akron,12,0,R64,2013
bucknell,Bucknell,11,0,R64,2013
iona,Iona,15,0,R64,2013
connecticut,UConn,7,6,Champion,2014
kentucky,Kentucky,8,5,Runner-up,2014
florida,Florida,1,4,F4,2014
wisconsin,Wisconsin,2,4,F4,2014
