rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year,team_abbrev,fg3_pct
1,1,1,2014-11-14,Duke,,Presbyterian,REG (Non-Conf),W 113-44,*,23,9,10,0.9,0,0,9,10,0.9,0.9,1,2,0.5,1,5,6,4,0,1,0,2,19,20.1,H,1,1,jahlil-okafor-1,Jahlil Okafor,2015,duke,
2,2,2,2014-11-15,Duke,,Fairfield,REG (Non-Conf),W 109-59,*,27,8,10,0.8,0,0,8,10,0.8,0.8,1,3,0.333,3,6,9,2,1,2,5,3,17,13.9,H,1,1,jahlil-okafor-1,Jahlil Okafor,2015,duke,
3,3,3,2014-11-18,Duke,N,Michigan State,REG (Non-Conf),W 81-71,*,30,8,10,0.8,0,0,8,10,0.8,0.8,1,2,0.5,1,4,5,1,2,2,3,4,17,14.2,N,1,1,jahlil-okafor-1,Jahlil Okafor,2015,duke,
4,4,4,2014-11-21,Duke,N,Temple,REG (Non-Conf),W 74-54,*,27,7,20,0.35,0,0,7,20,0.35,0.35,2,2,1.0,7,1,8,1,1,2,2,2,16,10.3,N,1,1,jahlil-okafor-1,Jahlil Okafor,2015,duke,
5,5,5,2014-11-22,Duke,N,Stanford,REG (Non-Conf),W 70-59,*,34,4,10,0.4,0,0,4,10,0.4,0.4,2,4,0.5,6,6,12,1,1,1,3,3,10,8.0,N,1,1,jahlil-okafor-1,Jahlil Okafor,2015,duke,
6,6,6,2014-11-26,Duke,,Furman,REG (Non-Conf),W 93-54,*,26,12,14,0.857,0,0,12,14,0.857,0.857,0,1,0.0,4,3,7,3,0,2,1,1,24,24.4,H,1,1,jahlil-okafor-1,Jahlil Okafor,2015,duke,
7,7,7,2014-11-30,Duke,,Army,REG (Non-Conf),W 93-73,*,25,8,14,0.571,0,0,8,14,0.571,0.571,5,9,0.556,6,2,8,0,1,1,1,0,21,18.3,H,1,1,jahlil-okafor-1,Jahlil Okafor,2015,duke,
8,8,8,2014-12-03,Duke,@,Wisconsin,REG (Non-Conf),W 80-70,*,27,6,8,0.75,0,0,6,8,0.75,0.75,1,2,0.5,0,6,6,1,1,1,2,4,13,10.0,A,1,1,jahlil-okafor-1,Jahlil Okafor,2015,duke,
9,9,9,2014-12-15,Duke,,Elon,REG (Non-Conf),W 75-62,*,29,10,14,0.714,0,0,10,14,0.714,0.714,5,11,0.455,10,10,20,1,2,3,4,0,25,27.6,H,1,1,jahlil-okafor-1,Jahlil Okafor,2015,duke,
10,10,10,2014-12-18,Duke,N,Connecticut,REG (Non-Conf),W 66-56,*,34,3,5,0.6,0,0,3,5,0.6,0.6,6,11,0.545,3,5,8,2,0,0,2,1,12,10.3,N,1,1,jahlil-okafor-1,Jahlil Okafor,2015,duke,
