rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year,team_abbrev
1,77,1,2017-11-10,Villanova,,Columbia,REG (Non-Conf),W 75-60,*,34,5,12,0.417,1,4,0.25,4,8,0.5,0.458,3,4,0.75,0,3,3,3,0,0,1,2,14,8.4,H,1,1,jalen-brunson-1,Jalen Brunson,2018,villanova
2,78,2,2017-11-14,Villanova,,Nicholls State,REG (Non-Conf),W 113-77,*,29,7,9,0.778,1,2,0.5,6,7,0.857,0.833,2,3,0.667,1,3,4,5,0,0,2,1,17,15.8,H,1,1,jalen-brunson-1,Jalen Brunson,2018,villanova
3,79,3,2017-11-17,Villanova,N,Lafayette,REG (Non-Conf),W 104-57,*,25,9,11,0.818,4,6,0.667,5,5,1.0,1.0,0,0,,0,4,4,6,4,0,1,1,22,25.9,N,1,1,jalen-brunson-1,Jalen Brunson,2018,villanova
4,80,4,2017-11-22,Villanova,N,Western Kentucky,REG (Non-Conf),W 66-58,*,35,7,9,0.778,2,3,0.667,5,6,0.833,0.889,2,2,1.0,0,1,1,2,0,0,1,2,18,14.4,N,1,1,jalen-brunson-1,Jalen Brunson,2018,villanova
5,81,5,2017-11-23,Villanova,N,Tennessee,REG (Non-Conf),W 85-76,*,29,8,16,0.5,0,2,0.0,8,14,0.571,0.5,9,9,1.0,1,3,4,6,1,0,1,3,25,21.6,N,1,1,jalen-brunson-1,Jalen Brunson,2018,villanova
6,82,6,2017-11-24,Villanova,N,Northern Iowa,REG (Non-Conf),W 64-50,*,34,6,9,0.667,3,6,0.5,3,3,1.0,0.833,1,3,0.333,0,4,4,4,2,0,1,0,16,16.3,N,1,1,jalen-brunson-1,Jalen Brunson,2018,villanova
7,83,7,2017-11-29,Villanova,,Pennsylvania,REG (Non-Conf),W 90-62,*,26,6,7,0.857,2,2,1.0,4,5,0.8,1.0,3,3,1.0,0,2,2,4,1,0,0,2,17,18.1,H,1,1,jalen-brunson-1,Jalen Brunson,2018,villanova
8,84,8,2017-12-02,Villanova,@,Saint Joseph's,REG (Non-Conf),W 94-53,*,26,5,9,0.556,2,4,0.5,3,5,0.6,0.667,2,2,1.0,1,2,3,6,0,0,2,1,14,12.8,A,1,1,jalen-brunson-1,Jalen Brunson,2018,villanova
9,85,9,2017-12-05,Villanova,N,Gonzaga,REG (Non-Conf),W 88-72,*,21,5,9,0.556,0,0,,5,9,0.556,0.556,2,6,0.333,1,4,5,5,1,0,3,4,12,7.9,N,1,1,jalen-brunson-1,Jalen Brunson,2018,villanova
10,86,10,2017-12-10,Villanova,,La Salle,REG (Non-Conf),W 77-68,*,35,4,9,0.444,2,4,0.5,2,5,0.4,0.556,7,10,0.7,1,1,2,7,1,0,1,1,17,16.6,H,1,1,jalen-brunson-1,Jalen Brunson,2018,villanova
11,87,11,2017-12-13,Villanova,@,Temple,REG (Non-Conf),W 87-67,*,38,11,16,0.688,6,10,0.6,5,6,0.833,0.875,3,4,0.75,0,6,6,5,0,0,0,2,31,28.3,A,1,1,jalen-brunson-1,Jalen Brunson,2018,villanova
12,88,12,2017-12-22,Villanova,N,Hofstra,REG (Non-Conf),W 95-71,*,29,5,12,0.417,3,6,0.5,2,6,0.333,0.542,1,1,1.0,1,3,4,7,2,0,2,3,14,12.9,N,1,1,jalen-brunson-1,Jalen Brunson,2018,villanova
13,89,13,2017-12-27,Villanova,@,DePaul,REG (Conf),W 103-85,*,31,7,14,0.5,2,5,0.4,5,9,0.556,0.571,0,0,,0,2,2,5,1,0,2,1,16,11.7,A,1,1,jalen-brunson-1,Jalen Brunson,2018,villanova
14,90,14,2017-12-30,Villanova,@,Butler,REG (Conf),L 93-101,*,33,12,21,0.571,4,11,0.364,8,10,0.8,0.667,3,5,0.6,1,2,3,5,1,0,1,2,31,24.3,A,0,1,jalen-brunson-1,Jalen Brunson,2018,villanova
15,91,15,2018-01-06,Villanova,,Marquette,REG (Conf),W 100-90,*,33,8,15,0.533,2,4,0.5,6,11,0.545,0.6,9,11,0.818,0,2,2,8,2,0,2,4,27,23.5,H,1,1,jalen-brunson-1,Jalen Brunson,2018,villanova
16,92,16,2018-01-10,Villanova,,Xavier,REG (Conf),W 89-65,*,31,6,12,0.5,2,6,0.333,4,6,0.667,0.583,3,4,0.75,0,2,2,5,1,0,1,1,17,14.3,H,1,1,jalen-brunson-1,Jalen Brunson,2018,villanova
17,93,17,2018-01-13,Villanova,@,St. John's (NY),REG (Conf),W 78-71,*,35,4,10,0.4,2,4,0.5,2,6,0.333,0.5,2,2,1.0,0,5,5,5,0,0,3,1,12,8.2,A,1,1,jalen-brunson-1,Jalen Brunson,2018,villanova
18,94,18,2018-01-17,Villanova,@,Georgetown,REG (Conf),W 88-56,*,28,7,11,0.636,4,7,0.571,3,4,0.75,0.818,0,0,,0,2,2,7,0,0,3,3,18,14.4,A,1,1,jalen-brunson-1,Jalen Brunson,2018,villanova
19,95,19,2018-01-20,Villanova,@,Connecticut,REG (Non-Conf),W 81-61,*,29,9,16,0.563,5,11,0.455,4,5,0.8,0.719,0,0,,0,2,2,4,1,0,3,0,23,16.8,A,1,1,jalen-brunson-1,Jalen Brunson,2018,villanova
20,96,20,2018-01-23,Villanova,,Providence,REG (Conf),W 89-69,*,32,5,15,0.333,3,7,0.429,2,8,0.25,0.433,2,2,1.0,0,1,1,4,0,0,1,3,15,7.4,H,1,1,jalen-brunson-1,Jalen Brunson,2018,villanova
21,97,21,2018-01-28,Villanova,@,Marquette,REG (Conf),W 85-82,*,34,10,21,0.476,1,4,0.25,9,17,0.529,0.5,10,11,0.909,2,3,5,1,1,0,0,2,31,23.1,A,1,1,jalen-brunson-1,Jalen Brunson,2018,villanova
22,98,22,2018-02-01,Villanova,,Creighton,REG (Conf),W 98-78,*,32,7,11,0.636,4,5,0.8,3,6,0.5,0.818,1,1,1.0,0,4,4,4,0,0,3,0,19,15.1,H,1,1,jalen-brunson-1,Jalen Brunson,2018,villanova
23,99,23,2018-02-04,Villanova,,Seton Hall,REG (Conf),W 92-76,*,36,6,12,0.5,2,5,0.4,4,7,0.571,0.583,7,9,0.778,0,2,2,6,0,0,1,0,21,18.0,H,1,1,jalen-brunson-1,Jalen Brunson,2018,villanova
24,100,24,2018-02-07,Villanova,,St. John's (NY),REG (Conf),L 75-79,*,37,8,21,0.381,2,11,0.182,6,10,0.6,0.429,10,11,0.909,0,3,3,3,1,0,1,3,28,17.9,H,0,1,jalen-brunson-1,Jalen Brunson,2018,villanova
25,101,25,2018-02-10,Villanova,,Butler,REG (Conf),W 86-75,*,36,10,18,0.556,1,5,0.2,9,13,0.692,0.583,6,7,0.857,0,2,2,1,1,0,2,1,27,17.9,H,1,1,jalen-brunson-1,Jalen Brunson,2018,villanova
26,102,26,2018-02-14,Villanova,@,Providence,REG (Conf),L 71-76,*,33,5,11,0.455,0,3,0.0,5,8,0.625,0.455,4,4,1.0,0,3,3,5,1,0,7,5,14,4.7,A,0,1,jalen-brunson-1,Jalen Brunson,2018,villanova
27,103,27,2018-02-17,Villanova,@,Xavier,REG (Conf),W 95-79,*,37,5,12,0.417,1,6,0.167,4,6,0.667,0.458,0,0,,0,3,3,8,0,0,0,3,11,9.9,A,1,1,jalen-brunson-1,Jalen Brunson,2018,villanova
28,104,28,2018-02-21,Villanova,,DePaul,REG (Conf),W 93-62,*,29,5,9,0.556,0,2,0.0,5,7,0.714,0.556,1,2,0.5,0,2,2,7,2,0,2,1,11,11.4,H,1,1,jalen-brunson-1,Jalen Brunson,2018,villanova
29,105,29,2018-02-24,Villanova,@,Creighton,REG (Conf),L 83-89 (OT),*,37,8,20,0.4,1,5,0.2,7,15,0.467,0.425,5,6,0.833,0,5,5,5,1,0,3,1,22,13.4,A,0,1,jalen-brunson-1,Jalen Brunson,2018,villanova
30,106,30,2018-02-28,Villanova,@,Seton Hall,REG (Conf),W 69-68 (OT),*,35,6,15,0.4,0,4,0.0,6,11,0.545,0.4,2,3,0.667,0,1,1,0,0,0,0,2,14,5.0,A,1,1,jalen-brunson-1,Jalen Brunson,2018,villanova
31,107,31,2018-03-03,Villanova,,Georgetown,REG (Conf),W 97-73,*,32,5,8,0.625,2,4,0.5,3,4,0.75,0.75,4,4,1.0,0,3,3,7,0,1,2,1,16,16.5,H,1,1,jalen-brunson-1,Jalen Brunson,2018,villanova
32,108,32,2018-03-08,Villanova,N,Marquette,CTOURN,W 94-70,*,29,8,13,0.615,3,6,0.5,5,7,0.714,0.731,2,3,0.667,0,2,2,3,1,0,1,2,21,16.6,N,1,0,jalen-brunson-1,Jalen Brunson,2018,villanova
33,109,33,2018-03-09,Villanova,N,Butler,CTOURN,W 87-68,*,24,6,10,0.6,3,6,0.5,3,4,0.75,0.75,2,2,1.0,0,3,3,3,2,0,3,2,17,13.6,N,1,0,jalen-brunson-1,Jalen Brunson,2018,villanova
34,110,34,2018-03-10,Villanova,N,Providence,CTOURN,W 76-66 (OT),*,40,12,23,0.522,4,9,0.444,8,14,0.571,0.609,3,5,0.6,1,5,6,4,1,0,2,3,31,21.7,N,1,0,jalen-brunson-1,Jalen Brunson,2018,villanova
35,111,35,2018-03-15,Villanova,N,Radford,ROUND-64,W 87-61,*,28,7,9,0.778,2,3,0.667,5,6,0.833,0.889,0,0,,0,3,3,4,1,0,4,0,16,13.2,N,1,0,jalen-brunson-1,Jalen Brunson,2018,villanova
36,112,36,2018-03-17,Villanova,N,Alabama,ROUND-32,W 81-58,*,24,3,7,0.429,3,6,0.5,0,1,0.0,0.643,3,3,1.0,1,1,2,4,2,0,0,3,12,12.9,N,1,0,jalen-brunson-1,Jalen Brunson,2018,villanova
37,113,37,2018-03-23,Villanova,N,West Virginia,ROUND-16,W 90-78,*,37,8,15,0.533,3,6,0.5,5,9,0.556,0.633,8,9,0.889,0,2,2,4,0,0,3,3,27,18.5,N,1,0,jalen-brunson-1,Jalen Brunson,2018,villanova
38,114,38,2018-03-25,Villanova,N,Texas Tech,ROUND-8,W 71-59,*,36,4,14,0.286,0,4,0.0,4,10,0.4,0.286,7,8,0.875,1,5,6,4,2,0,2,4,15,9.8,N,1,0,jalen-brunson-1,Jalen Brunson,2018,villanova
39,115,39,2018-03-31,Villanova,N,Kansas,NATIONAL-SEMI,W 95-79,*,35,7,14,0.5,3,8,0.375,4,6,0.667,0.607,1,3,0.333,0,2,2,6,1,0,2,1,18,13.6,N,1,0,jalen-brunson-1,Jalen Brunson,2018,villanova
40,116,40,2018-04-02,Villanova,N,Michigan,NATIONAL-FINAL,W 79-62,*,28,4,13,0.308,1,5,0.2,3,8,0.375,0.346,0,0,,0,2,2,2,2,0,2,4,9,1.9,N,1,0,jalen-brunson-1,Jalen Brunson,2018,villanova
1,77,1,2017-11-10,Villanova,,Columbia,REG (Non-Conf),W 75-60,*,32,2,8,0.25,0,5,0.0,2,3,0.667,0.25,4,4,1.0,2,5,7,2,2,0,1,2,8,7.7,H,1,1,mikal-bridges-1,Mikal Bridges,2018,villanova
2,78,2,2017-11-14,Villanova,,Nicholls State,REG (Non-Conf),W 113-77,*,27,7,11,0.636,4,7,0.571,3,4,0.75,0.818,5,6,0.833,0,6,6,4,5,4,3,3,23,25.9,H,1,1,mikal-bridges-1,Mikal Bridges,2018,villanova
3,79,3,2017-11-17,Villanova,N,Lafayette,REG (Non-Conf),W 104-57,*,26,9,10,0.9,6,6,1.0,3,4,0.75,1.2,0,0,,0,4,4,2,2,1,1,0,24,24.9,N,1,1,mikal-bridges-1,Mikal Bridges,2018,villanova
4,80,4,2017-11-22,Villanova,N,Western Kentucky,REG (Non-Conf),W 66-58,*,33,7,15,0.467,2,6,0.333,5,9,0.556,0.533,1,2,0.5,4,4,8,3,5,3,3,1,17,18.7,N,1,1,mikal-bridges-1,Mikal Bridges,2018,villanova
5,81,5,2017-11-23,Villanova,N,Tennessee,REG (Non-Conf),W 85-76,*,23,7,10,0.7,2,3,0.667,5,7,0.714,0.8,5,6,0.833,1,2,3,0,2,0,1,4,21,17.1,N,1,1,mikal-bridges-1,Mikal Bridges,2018,villanova
6,82,6,2017-11-24,Villanova,N,Northern Iowa,REG (Non-Conf),W 64-50,*,40,8,14,0.571,2,5,0.4,6,9,0.667,0.643,0,0,,2,5,7,1,1,1,0,0,18,16.7,N,1,1,mikal-bridges-1,Mikal Bridges,2018,villanova
7,83,7,2017-11-29,Villanova,,Pennsylvania,REG (Non-Conf),W 90-62,*,31,5,10,0.5,1,3,0.333,4,7,0.571,0.55,3,4,0.75,0,6,6,1,1,1,0,2,14,12.0,H,1,1,mikal-bridges-1,Mikal Bridges,2018,villanova
8,84,8,2017-12-02,Villanova,@,Saint Joseph's,REG (Non-Conf),W 94-53,*,27,6,12,0.5,4,7,0.571,2,5,0.4,0.667,2,2,1.0,2,7,9,2,2,1,0,2,18,18.8,A,1,1,mikal-bridges-1,Mikal Bridges,2018,villanova
9,85,9,2017-12-05,Villanova,N,Gonzaga,REG (Non-Conf),W 88-72,*,36,8,14,0.571,5,9,0.556,3,5,0.6,0.75,7,9,0.778,1,5,6,0,1,2,3,3,28,21.0,N,1,1,mikal-bridges-1,Mikal Bridges,2018,villanova
10,86,10,2017-12-10,Villanova,,La Salle,REG (Non-Conf),W 77-68,*,37,4,11,0.364,0,3,0.0,4,8,0.5,0.364,2,3,0.667,2,6,8,2,0,0,2,0,10,6.1,H,1,1,mikal-bridges-1,Mikal Bridges,2018,villanova
11,87,11,2017-12-13,Villanova,@,Temple,REG (Non-Conf),W 87-67,*,28,3,10,0.3,1,4,0.25,2,6,0.333,0.35,0,0,,2,1,3,2,2,2,3,1,7,4.3,A,1,1,mikal-bridges-1,Mikal Bridges,2018,villanova
12,88,12,2017-12-22,Villanova,N,Hofstra,REG (Non-Conf),W 95-71,*,33,6,15,0.4,2,5,0.4,4,10,0.4,0.467,6,7,0.857,2,1,3,5,1,3,0,1,20,19.4,N,1,1,mikal-bridges-1,Mikal Bridges,2018,villanova
